#Types Before Cut: 11131
#Types After Cut: 9721
#Search Hits: 0
242	13	34.250	кешью
243	13	34.250	мать
244	13	34.250	сижу
245	13	34.250	спать
246	13	34.250	твои
247	13	34.250	учились
248	28	34.227	обычно
249	20	33.559	другому
250	15	32.661	будешь
251	15	32.661	понял
252	15	32.661	поняла
253	28	32.382	таки
254	24	32.229	принципе
255	18	32.068	дом
256	12	31.615	весело
257	12	31.615	квартиру
258	12	31.615	круто
259	12	31.615	любят
260	12	31.615	макс
261	12	31.615	поговорить
262	12	31.615	пятьдесят
263	12	31.615	смешно
264	36	31.571	две
265	49	31.569	всегда
266	34	30.859	голос
267	16	30.843	школа
268	16	30.843	языке
269	20	30.789	дочка
270	21	30.464	хоть
271	21	30.464	язык
272	113	30.397	даже
273	14	30.160	домой
274	14	30.160	утра
275	17	29.750	давайте
276	11	28.980	inan
277	11	28.980	вкус
278	11	28.980	давали
279	11	28.980	девочки
280	11	28.980	девяносто
281	11	28.980	здорово
282	11	28.980	знала
283	11	28.980	кадра
284	11	28.980	классно
285	11	28.980	кхм
286	11	28.980	понимаешь
287	11	28.980	расскажу
288	11	28.980	рассказчик
289	11	28.980	смеётся
290	11	28.980	смотри
291	11	28.980	соседка
292	11	28.980	училась
293	11	28.980	холодно
294	157	28.902	или
295	19	28.611	младший
296	26	28.584	самое
297	26	28.584	смысле
298	21	28.200	жить
299	13	27.668	концерт
300	13	27.668	семья
301	13	27.668	ходить
302	13	27.668	честно
303	16	27.450	видео
304	17	26.832	моей
305	10	26.346	бывают
306	10	26.346	восемьдесят
307	10	26.346	дед
308	10	26.346	дедушка
309	10	26.346	ехать
310	10	26.346	забыл
311	10	26.346	иии
312	10	26.346	картинка
313	10	26.346	кашель
314	10	26.346	нуу
315	10	26.346	озеро
316	10	26.346	пол
317	10	26.346	прикольно
318	10	26.346	ребята
319	10	26.346	своё
320	10	26.346	слушай
321	10	26.346	смешок
322	10	26.346	собака
323	10	26.346	ушёл
324	19	26.244	слово
325	22	26.222	какую
326	22	26.222	часов
327	14	26.075	собственно
328	27	25.740	моя
329	12	25.188	берег
330	12	25.188	вдруг
331	12	25.188	делаю
332	12	25.188	купил
333	12	25.188	смеется
334	15	25.169	ж
335	15	25.169	играть
336	16	24.632	читать
337	50	24.278	день
338	20	24.177	друг
339	20	24.177	места
340	18	24.172	понимаю
341	18	24.172	тему
342	29	23.807	старший
343	13	23.716	какими
344	13	23.716	маленький
345	13	23.716	машина
346	13	23.716	смотреть
347	9	23.711	ар
348	9	23.711	видишь
349	9	23.711	грустный
350	9	23.711	двенадцать
351	9	23.711	двести
352	9	23.711	кошки
353	9	23.711	папа
354	9	23.711	переехали
355	9	23.711	подожди
356	9	23.711	смесь
357	9	23.711	танцами
358	9	23.711	твой
359	9	23.711	учителя
360	9	23.711	чай
361	9	23.711	эмм
362	147	23.683	был
363	39	23.093	людей
364	27	23.030	каждый
365	14	22.911	d
366	14	22.911	вещи
367	14	22.911	мои
368	11	22.720	квартире
369	36	22.603	одна
370	21	22.576	долго
371	16	22.218	девять
372	28	22.194	совсем
373	18	22.140	русский
374	35	22.134	четыре
375	17	22.127	кем
376	12	21.379	знаете
377	12	21.379	нравятся
378	8	21.077	acc
379	8	21.077	komm
380	8	21.077	nom
381	8	21.077	ааa
382	8	21.077	английский
383	8	21.077	брови
384	8	21.077	говорящийа
385	8	21.077	говорящийб
386	8	21.077	грустно
387	8	21.077	делаешь
388	8	21.077	егэ
389	8	21.077	замечательно
390	8	21.077	звук
391	8	21.077	иду
392	8	21.077	интересного
393	8	21.077	колесико
394	8	21.077	любишь
395	8	21.077	лёва
396	8	21.077	мамой
397	8	21.077	мемы
398	8	21.077	моих
399	8	21.077	надя
400	8	21.077	неудобно
401	8	21.077	никит
402	8	21.077	одиннадцать
403	8	21.077	поехал
